City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Origin,Country,Population,Total_Parking_Area,Park_Ways,Park_Nodes,Park_Relations,Continent,Region 1,Region 2,Total_Contributors,Country_Population
Dhaka,56.8,25.4,36.6,40.2,29.1,15.8,61.0,93.5,71.3,"Dhaka, Bangladesh",Bangladesh,16839000,148569.74269286572,89,24,1,Asia,Southern Asia,,60300.0,169356251.0
Pune,137.4,90.8,57.7,66.3,24.1,7.5,43.7,70.9,74.3,"Pune, India",India,7948000,171926.57992513358,102,28,1,Asia,Southern Asia,,275801.0,1407563842.0
Casablanca,90.4,34.5,45.1,44.8,33.4,14.7,46.8,82.7,98.1,"Casablanca, Morocco",Morocco,4370000,526346.9046845973,102,16,0,Africa,Northern Africa,,33450.0,37076584.0
Colombo,69.6,15.1,58.1,71.9,32.0,39.4,60.9,61.4,59.1,"Colombo, Sri Lanka",Sri Lanka,752993,205765.5795288332,114,38,2,Asia,Southern Asia,,40421.0,22156000.0
Gothenburg,178.4,97.5,53.4,68.5,61.2,8.4,25.3,20.0,77.5,"Gothenburg, Sweden",Sweden,604829,205765.5795288332,114,38,2,Europe,Northern Europe,,170271.0,10415811.0
Kathmandu,71.0,18.7,63.0,55.8,27.9,36.4,36.4,95.7,92.6,"Kathmandu, Nepal",Nepal,975453,181616.0718328649,123,30,1,Asia,Southern Asia,,87274.0,30034989.0
Mumbai,77.2,48.6,54.8,65.3,25.7,33.6,55.1,83.7,71.5,"Mumbai, India",India,22186000,333525.2148763944,125,44,0,Asia,Southern Asia,,275801.0,1407563842.0
Santiago,99.2,33.3,38.7,65.5,51.7,18.8,37.5,70.5,90.2,"Santiago, Chile",Chile,7026000,142401.08381857394,129,47,1,South America,South America,Latin America and the Caribbean,68116.0,19493184.0
Ho Chi Minh City,65.4,29.1,47.5,59.9,36.9,34.2,31.4,92.2,63.4,"Ho Chi Minh City, Vietnam",Vietnam,13954000,370046.4780731695,144,65,0,Asia,South-eastern Asia,,78569.0,97468029.0
Tirana,89.9,29.4,58.2,48.0,41.1,18.0,38.5,86.3,86.4,"Tirana, Albania",Albania,418495,147056.55550771413,145,41,1,Europe,Southern Europe,,14143.0,2811666.0
Hong Kong,100.4,64.7,78.6,65.8,75.6,45.5,42.4,67.2,83.6,"Hong Kong, Hong Kong (China)",Hong Kong (China),7398000,273768.35151651286,154,109,10,Asia,Eastern Asia,,20853.0,7413100.0
Hanoi,99.1,35.3,62.0,57.1,36.8,17.9,28.4,89.0,79.0,"Hanoi, Vietnam",Vietnam,8246600,695651.9177367884,187,73,2,Asia,South-eastern Asia,,78569.0,97468029.0
Kelowna,161.5,92.9,38.4,73.8,63.7,6.0,29.6,25.6,59.7,"Kelowna, Canada",Canada,142146,934128.8148556178,208,22,2,North America,Northern America,,238681.0,38246108.0
Montevideo,129.3,38.6,44.5,68.4,60.4,12.3,37.4,47.2,98.0,"Montevideo, Uruguay",Uruguay,1319108,401019.1711088846,212,41,3,South America,South America,Latin America and the Caribbean,11652.0,3426260.0
Qingdao,161.8,79.4,89.1,77.5,31.4,18.2,27.9,50.5,70.4,"Qingdao, Shandong, China",China,5775000,1793993.8240232198,228,29,2,Asia,Eastern Asia,,169586.0,1412360000.0
Delhi,83.9,58.8,40.8,65.2,24.8,14.2,57.3,90.6,58.9,"Delhi, India",India,31870000,994971.6935185002,249,64,0,Asia,Southern Asia,,275801.0,1407563842.0
Lima,79.3,31.5,29.4,58.2,35.9,17.6,51.0,85.8,97.7,"Lima, Peru",Peru,8992000,257912.53385182784,254,73,0,South America,South America,Latin America and the Caribbean,65231.0,33715471.0
Lagos,46.1,7.0,32.5,46.3,38.0,14.7,67.4,89.3,60.8,"Lagos, Nigeria",Nigeria,15487000,1760673.910291835,262,1,1,Africa,Western Africa,Sub-Saharan Africa,74557.0,213401323.0
Islamabad,138.4,27.0,68.9,64.2,16.7,11.6,34.7,41.3,76.9,"Islamabad, Pakistan",Pakistan,1014825,1118024.9588538809,264,24,1,Asia,Southern Asia,,27764.0,231402117.0
Lahore,105.2,21.9,63.5,62.5,17.3,11.3,34.7,78.7,67.6,"Lahore, Pakistan",Pakistan,11148000,1118024.9588538809,264,24,1,Asia,Southern Asia,,27764.0,231402117.0
Karachi,78.2,21.9,45.1,57.0,17.2,17.1,42.2,89.8,71.3,"Karachi, Pakistan",Pakistan,15292000,1118024.9588538809,264,24,1,Asia,Southern Asia,,27764.0,231402117.0
Panama City,112.1,34.5,52.1,60.8,51.8,11.3,32.8,62.8,67.8,"Panama City, Panama",Panama,880691,1118024.9588538809,264,24,1,North America,Central America,Latin America and the Caribbean,9966.0,4351267.0
Rijeka,165.4,52.8,74.3,64.6,45.5,12.6,18.9,35.6,94.9,"Rijeka, Croatia",Croatia,128624,314825.5473619323,290,4,0,Europe,Southern Europe,,61445.0,3899000.0
Sarajevo,122.1,51.7,54.4,59.0,38.9,12.5,28.1,67.5,78.2,"Sarajevo, Bosnia And Herzegovina",Bosnia And Herzegovina,275524,541695.7777852075,318,108,1,Europe,Southern Europe,,26309.0,3270943.0
Manila,40.7,24.5,34.7,63.7,38.8,41.6,53.6,89.9,61.2,"Manila, Philippines",Philippines,23971000,481456.8723825436,325,41,8,Asia,South-eastern Asia,,175544.0,113880328.0
Campinas,126.4,35.0,33.5,61.3,37.7,12.8,28.4,46.5,98.9,"Campinas, Brazil",Brazil,1164098,1480005.9136749192,339,50,2,South America,South America,Latin America and the Caribbean,370000.0,214326223.0
Medellin,121.9,34.3,44.5,78.6,25.3,15.0,38.7,62.9,99.8,"Medellin, Colombia",Colombia,2529403,576792.9005227003,342,44,5,South America,South America,Latin America and the Caribbean,91825.0,51516562.0
Guatemala City,93.3,22.8,35.7,64.1,43.3,14.9,49.8,72.8,99.9,"Guatemala City, Guatemala",Guatemala,2934841,988068.2909833632,343,156,6,North America,Central America,Latin America and the Caribbean,30529.0,17109746.0
Belo Horizonte,107.5,24.6,36.3,63.9,35.7,18.9,43.4,52.0,98.5,"Belo Horizonte, Brazil",Brazil,5159000,903476.7906769252,350,58,18,South America,South America,Latin America and the Caribbean,370000.0,214326223.0
Split,167.0,55.2,68.6,69.5,45.9,15.6,16.1,31.5,96.3,"Split, Croatia",Croatia,178102,626031.8497588015,351,73,1,Europe,Southern Europe,,61445.0,3899000.0
Bangalore,133.8,107.9,46.2,66.8,25.7,5.7,52.8,81.6,89.4,"Bangalore, India",India,13999000,931264.632785369,365,188,3,Asia,Southern Asia,,275801.0,1407563842.0
Bursa,149.3,29.5,70.8,78.3,35.3,10.7,33.0,44.5,93.4,"Bursa, Turkey",Turkey,211644,1480954.9063378284,371,28,0,Asia,Western Asia,,89063.0,84775404.0
Valencia,178.2,74.8,67.9,79.8,49.4,6.4,24.6,37.9,93.8,"Valencia, Spain",Spain,1484430,1158360.53382946,391,126,2,Europe,Southern Europe,,398246.0,47415750.0
Iasi,129.7,47.9,69.2,56.3,36.5,11.7,33.7,58.3,73.0,"Iasi, Romania",Romania,290422,595777.3531275815,397,328,1,Europe,Eastern Europe,,82547.0,19119880.0
Yerevan,117.4,25.4,78.2,55.9,43.2,16.4,31.0,58.7,63.4,"Yerevan, Armenia",Armenia,1075800,685095.6642670342,409,66,6,Asia,Western Asia,,16867.0,2790974.0
Geneva,179.1,105.9,69.7,72.4,107.3,13.1,27.7,25.5,82.6,"Geneva, Switzerland",Switzerland,201818,312106.1460054456,410,51,2,Europe,Western Europe,,217772.0,8703405.0
Halifax,170.3,92.1,58.6,67.3,67.0,5.0,30.6,23.2,59.0,"Halifax, Canada",Canada,403131,1453888.7007674775,411,93,8,North America,Northern America,,238681.0,38246108.0
Victoria,171.5,82.8,59.4,66.6,75.6,13.2,32.4,17.9,92.5,"Victoria, Canada",Canada,335696,526817.9657536718,414,8,96,North America,Northern America,,238681.0,38246108.0
Varna,137.6,49.7,63.7,62.4,40.4,8.7,28.9,60.3,85.1,"Varna, Bulgaria",Bulgaria,347924,645185.8387934935,418,195,1,Europe,Eastern Europe,,44150.0,6877743.0
Miami,152.2,90.2,47.1,63.8,81.3,5.6,43.1,39.4,85.7,"Miami, FL, United States",United States,6445545,1635847.0039526906,424,19,8,North America,Northern America,,1367882.0,331893745.0
Doha,158.5,102.6,85.9,73.6,58.3,6.4,29.8,59.8,36.0,"Doha, Qatar",Qatar,1186023,3465306.7207629974,432,74,3,Asia,Western Asia,,5433.0,2688235.0
Beirut,63.3,11.0,53.1,64.7,77.6,35.0,39.8,93.7,94.7,"Beirut, Lebanon",Lebanon,361366,766574.4975342466,437,45,2,Asia,Western Asia,,15878.0,5592631.0
Barcelona,139.7,69.1,49.7,77.4,57.7,11.4,29.7,65.4,95.7,"Barcelona, Spain",Spain,4735000,1090456.0511396218,454,297,27,Europe,Southern Europe,,398246.0,47415750.0
Cairo,80.2,19.4,49.8,45.9,22.5,12.1,50.1,91.3,88.5,"Cairo, Egypt",Egypt,19787000,2014622.0227702367,465,65,0,Africa,Northern Africa,,39941.0,109262178.0
Nairobi,94.3,31.6,41.0,62.3,32.7,13.7,53.8,79.7,99.8,"Nairobi, Kenya",Kenya,5545000,1284333.8805224143,481,89,0,Africa,Eastern Africa,Sub-Saharan Africa,47823.0,53005614.0
Kuwait City,114.6,77.9,70.0,58.7,46.9,15.0,32.4,68.8,20.2,"Kuwait City, Kuwait",Kuwait,2989000,1284333.8805224143,481,89,0,Asia,Western Asia,,4438.0,4250114.0
Brussels,144.5,92.9,45.7,73.9,68.6,6.6,36.7,61.7,83.8,"Brussels, Belgium",Belgium,1743000,716288.1186717399,486,33,6,Europe,Western Europe,,204465.0,11592952.0
